 time            v(uio_in_0)     v(analog_0)     v(analog_1)     v(analog_2)    
 1.60598290e-04  1.50000000e+00  7.58463362e-01  3.53295039e-01  2.76838761e-06 
 1.61598290e-04  1.50000000e+00  7.58496662e-01  3.52939408e-01  2.76838761e-06 
 1.62598290e-04  1.50000000e+00  7.58529627e-01  3.52588803e-01  2.76838761e-06 
 1.63598290e-04  1.50000000e+00  7.58562255e-01  3.52243185e-01  2.76838761e-06 
 1.64598290e-04  1.50000000e+00  7.58594545e-01  3.51902512e-01  2.76838761e-06 
 1.65598290e-04  1.50000000e+00  7.58626495e-01  3.51566746e-01  2.76838761e-06 
 1.66598290e-04  1.50000000e+00  7.58658105e-01  3.51235849e-01  2.76838761e-06 
 1.67598290e-04  1.50000000e+00  7.58689373e-01  3.50909782e-01  2.76838761e-06 
 1.68598290e-04  1.50000000e+00  7.58720298e-01  3.50588509e-01  2.76838761e-06 
 1.69598290e-04  1.50000000e+00  7.58750879e-01  3.50271993e-01  2.76838761e-06 
 1.70598290e-04  1.50000000e+00  7.58781115e-01  3.49960200e-01  2.76838761e-06 
 1.71598290e-04  1.50000000e+00  7.58811004e-01  3.49653095e-01  2.76838761e-06 
 1.72598290e-04  1.50000000e+00  7.58840544e-01  3.49350644e-01  2.76838761e-06 
 1.73598290e-04  1.50000000e+00  7.58869736e-01  3.49052813e-01  2.76838761e-06 
 1.74598290e-04  1.50000000e+00  7.58898578e-01  3.48759571e-01  2.76838761e-06 
 1.75598290e-04  1.50000000e+00  7.58927069e-01  3.48470886e-01  2.76838761e-06 
 1.76598290e-04  1.50000000e+00  7.58955207e-01  3.48186726e-01  2.76838761e-06 
 1.77598290e-04  1.50000000e+00  7.58982991e-01  3.47907061e-01  2.76838761e-06 
 1.78598290e-04  1.50000000e+00  7.59010421e-01  3.47631862e-01  2.76838761e-06 
 1.79598290e-04  1.50000000e+00  7.59037495e-01  3.47361099e-01  2.76838761e-06 
 1.80598290e-04  1.50000000e+00  7.59064212e-01  3.47094743e-01  2.76838761e-06 
 1.81598290e-04  1.50000000e+00  7.59090572e-01  3.46832768e-01  2.76838761e-06 
 1.82598290e-04  1.50000000e+00  7.59116572e-01  3.46575145e-01  2.76838761e-06 
 1.83598290e-04  1.50000000e+00  7.59142213e-01  3.46321848e-01  2.76838761e-06 
 1.84598290e-04  1.50000000e+00  7.59167493e-01  3.46072851e-01  2.76838761e-06 
 1.85598290e-04  1.50000000e+00  7.59192411e-01  3.45828129e-01  2.76838761e-06 
 1.86598290e-04  1.50000000e+00  7.59216966e-01  3.45587656e-01  2.76838761e-06 
 1.87598290e-04  1.50000000e+00  7.59241157e-01  3.45351408e-01  2.76838761e-06 
 1.88598290e-04  1.50000000e+00  7.59264983e-01  3.45119361e-01  2.76838761e-06 
 1.89598290e-04  1.50000000e+00  7.59288444e-01  3.44891492e-01  2.76838761e-06 
 1.90598290e-04  1.50000000e+00  7.59311538e-01  3.44667779e-01  2.76838761e-06 
 1.91598290e-04  1.50000000e+00  7.59334264e-01  3.44448198e-01  2.76838761e-06 
 1.92598290e-04  1.50000000e+00  7.59356621e-01  3.44232729e-01  2.76838761e-06 
 1.93598290e-04  1.50000000e+00  7.59378610e-01  3.44021350e-01  2.76838761e-06 
 1.94598290e-04  1.50000000e+00  7.59400228e-01  3.43814040e-01  2.76838761e-06 
 1.95598290e-04  1.50000000e+00  7.59421475e-01  3.43610780e-01  2.76838761e-06 
 1.96598290e-04  1.50000000e+00  7.59442350e-01  3.43411549e-01  2.76838761e-06 
 1.97598290e-04  1.50000000e+00  7.59462852e-01  3.43216328e-01  2.76838761e-06 
 1.98598290e-04  1.50000000e+00  7.59482981e-01  3.43025098e-01  2.76838761e-06 
 1.99598290e-04  1.50000000e+00  7.59502735e-01  3.42837842e-01  2.76838761e-06 
 2.00598290e-04  1.50000000e+00  7.59522114e-01  3.42654540e-01  2.76838761e-06 
 2.01598290e-04  1.50000000e+00  7.59541118e-01  3.42475177e-01  2.76838761e-06 
 2.02598290e-04  1.50000000e+00  7.59559744e-01  3.42299734e-01  2.76838761e-06 
 2.03598290e-04  1.50000000e+00  7.59577993e-01  3.42128196e-01  2.76838761e-06 
 2.04598290e-04  1.50000000e+00  7.59595864e-01  3.41960546e-01  2.76838761e-06 
 2.05598290e-04  1.50000000e+00  7.59613357e-01  3.41796768e-01  2.76838761e-06 
 2.06598290e-04  1.50000000e+00  7.59630469e-01  3.41636848e-01  2.76838761e-06 
 2.07598290e-04  1.50000000e+00  7.59647202e-01  3.41480770e-01  2.76838761e-06 
 2.08598290e-04  1.50000000e+00  7.59663554e-01  3.41328519e-01  2.76838761e-06 
 2.09598290e-04  1.50000000e+00  7.59679524e-01  3.41180083e-01  2.76838761e-06 
